,Best months for climbing:,Continent:,Convenient Center:,Country:,Difficulty:,Elevation (feet):,Elevation (meters):,First successful climber(s):,Latitude:,Longitude:,Most recent eruption:,Nearest major airport:,Province:,Range/Region:,State:,Volcanic status:,Year first climbed:
Huascaran,"May, Jun, Jul, Aug, Sep",South America,"Huaraz, Peru",Peru,Basic Snow/Ice Climb,22204.0,6767.7792,"H. Bernard, E. Hein, H. Hoerlin, E. Schneider",-9.121504,-77.60424599999999,,"Lima, Peru",,Peruvian Andes,,,1932.0
Huayna Potosi,"May, Jun, Jul, Aug, Sep",South America,"La Paz, Bolivia",Bolivia,Basic Snow/Ice Climb,19996.0,6094.7808,German expedition,-16.2667,-68.1833,,"La Paz, Bolivia",,Bolivian Andes,,,1919.0
Nevado de Huila,"Jan, Feb, Mar, Dec",South America,"Belalcazar, Colombia (small town, also known as Paez)",Colombia,Basic Snow/Ice Climb,18865.0,5750.052,E. Kraus and party,3.0,-76.0,,"Cali, Colombia",,Colombian Andes,,Dormant,1944.0
Humphreys Peak,"Jun, Jul, Aug, Sep, Oct",North America,"Flagstaff, Arizona",United States,Walk up,12633.0,3850.5384,,35.3333,-111.68299999999999,,"Flagstaff, Arizona",,Colorado Plateau,Arizona,,
Mount Hungabee,"Aug, Sep",North America,"Banff, Alberta",Canada,Technical Climb,11457.0,3492.0936,J. and E. Hutchinson,51.3333,-116.28299999999999,,"Calgary, Alberta",Alberta/British Columbia,Canadian Rockies,,,1904.0
Mount Hunter,"Apr, May, Jun",North America,"Talkeetna, Alaska",United States,Basic Snow/Ice Climb,14573.0,4441.8504,"Heinrich Harrer, Fred Beckey, Henry Meybohm",62.9508,-151.089,,"Anchorage, Alaska",,Alaska Range,Alaska,,1954.0
Mount Huntington,"Apr, May, Jun",North America,"Talkeetna, Alaska",United States,Basic Snow/Ice Climb,12240.0,3730.752,Jacques Batkin and Sylvain Sarthou of Lionel Terray's party,62.9678,-150.89600000000002,,"Anchorage, Alaska",,Alaska Range,Alaska,,1964.0
Hvannadalshnukur,"Jul, Aug, Sep",Europe,"Sandfell or Skaftafell, Iceland",Iceland,Walk up,6952.0,2118.9696,"Frederick W.W. Howell, Pall Jonsson, Thorlakur Thorlaksson",64.0167,-16.6833,,"Reykjavik, Iceland",,Iceland,,Extinct,1891.0
Illampu,"May, Jun, Jul, Aug, Sep",South America,"La Paz, Bolivia",Bolivia,Basic Snow/Ice Climb,20873.0,6362.0904,"H. Pfann, H. Hortnagel, H. Horeschowsky, E. Hein",-15.815997,-68.543358,,"La Paz, Bolivia",,Bolivian Andes,,,1928.0
Illimani,"May, Jun, Jul, Aug, Sep",South America,"La Paz, Bolivia",Bolivia,Basic Snow/Ice Climb,21200.0,6461.76,William Martin Conway,-16.636932,-67.787747,,"La Paz, Bolivia",,Bolivian Andes,,,1898.0
Iztaccihuatl,"Jan, Feb, Mar, Apr, Dec",North America,"Amecameca, Mexico",Mexico,Walk up,17342.0,5285.8416,James de Salis (first recorded),19.1833,-98.6333,,"Mexico City, Mexico",,Cordillera Neovolcanica,,Extinct,1889.0
La Maledie,"May, Jun, Jul, Aug, Sep",Europe,Lantosque,France,Scramble,10170.0,3099.816,,,,,Nice,,Maritime Alps,,,
Mount Jefferson,"May, Jun, Jul, Aug",North America,"Salem, Oregon",United States,Basic Snow/Ice Climb,10497.0,3199.4856,"E.C. Cross, Ray L. Farmer",44.674268,-121.79958300000001,,"Portland, Oregon",,Cascade Range,Oregon,,1888.0
Jiehkkevarri,"Jul, Aug",Europe,"Troms, Norway",Norway,Basic Snow/Ice Climb,6053.0,1844.9544,"G.Hastings, H.Wooley",69.4667,19.9167,,"Troms or Oslo, Norway",,Jotunheimen,,,1897.0
Jirishanca,"May, Jun, Jul, Aug, Sep",South America,"Chiquian, Peru",Peru,Technical Climb,20099.0,6126.1752,T. Egger and S. Jungmeier,-10.3297,-76.4319,,"Lima, Peru",,Peruvian Andes,,,1957.0
Mount Joffre,,North America,"Canmore, Alberta",Canada,Technical Climb,11316.0,3449.1168,"J.W. Hickson, E. Feuz",50.527941999999996,-115.207443,,"Calgary, Alberta",Alberta/British Columbia,Canadian Rockies,,,1919.0
Jungfrau,"Jul, Aug, Sep",Europe,"Grindelwald, Switzerland",Switzerland,Basic Snow/Ice Climb,13642.0,4158.0816,"Johann Rudolf Meyer, Hieronymus Meyer, Alois Volker, Joseph Bortis",46.5333,7.96667,,"Bern, Switzerland",,Berner Oberland,,,1811.0
K2,"Jun, Jul, Aug",Asia,"Skardu, Pakistan",Pakistan,Major Mountain Expedition,28253.0,8611.5144,"Achille Compagnoni, Lino Lacedelli (Italian expedition)",35.8825,76.5133,,"Islamabad, Pakistan",,Karakoram,,,1954.0
Kailas,"Jun, Jul, Aug, Sep",Asia,"Barga, Tibet (small lakefront village, south of the mountain)",China,Major Mountain Expedition,22028.0,6714.1344,,31.0667,81.3167,,"Lhasa, Tibet",,Gangdisi Shanmai,,,
Kamet,"Jul, Aug, Sep",Asia,"Hardwar, India",India,Major Mountain Expedition,25447.0,7756.2456,"Frank Smythe, Eric Shipton, R.L. Holdsworth, Lewa Sherpa",30.920278000000003,79.593611,,"Delhi, India",,Garhwal Himalaya,,,1931.0
Kangchenjunga,"Apr, May",Asia,"Hille, Nepal via Dharan Bazar",Nepal,Major Mountain Expedition,28169.0,8585.9112,"George Band, Joe Brown, (British expedition)",27.7025,88.1483,,"Kathmandu, Nepal",,Sikkim-Eastern Nepal Himalaya,,,1955.0
Signal Peak,"Apr, May, Jun, Jul",North America,"Silver City, NM",United States,Walk up,9001.0,2743.5048,,32.9244,-108.18,,"El Paso, TX",,Southwest Basins and Ranges,New Mexico,,
Kazbek,"Jun, Jul, Aug, Sep",Europe,"Kazbegi, Georgia",Georgia,Basic Snow/Ice Climb,16558.0,5046.8784,"Douglas Freshfield, A.W.Moore, C.C.Tucker",42.696851,44.518533000000005,,"Tbilisi, Georgia",,Central Caucasus,,,1868.0
Mount Kenya,"Jan, Feb, Aug, Sep",Africa,"Nanyuki, Kenya",Kenya,Technical Climb,17057.0,5198.9736,"Halford MacKinder, C. Ollier, J. Brocherel",-0.15,37.3,,"Nairobi, Kenya",,East Central Kenya,,Extinct,1899.0
Smokey Mountains,"Mar, Apr, Oct, Nov",North America,Labrador City,Canada,Walk up,2750.0,838.2,,53.9667,-66.9333,,Wabush airport,Newfoundland and Labrador,Canadian Shield,,,
