,Best months for climbing:,Continent:,Convenient Center:,Country:,Difficulty:,Elevation (feet):,Elevation (meters):,First successful climber(s):,Latitude:,Longitude:,Most recent eruption:,Nearest major airport:,Province:,Range/Region:,State:,Volcanic status:,Year first climbed:
Mahadev,"May, Jun, Jul, Aug, Sep",Asia,"Harwan, Srinagar",India,Scramble,13013.0,3966.3624,,34.152443,74.987268,,"Srinagar, Indian Administered Kashmir",,,,,
Ajax Peak,"Jun, Jul, Aug, Sep",North America,Telluride,United States,Basic Snow/Ice Climb,12785.0,3896.868,,37.930137,-107.759274,,Montrose,,,Colorado,,
Mount Woodrow Wilson,"Jun, Jul, Aug",North America,,United States,Technical Climb,13502.0,4115.4096,"Albert Bessine, Edgar Doll and Carol Thompson-Jones",43.166667,-109.652222,,,,Wind River Range,Wyoming,,1924.0
Jof Fuart,"Jun, Jul, Aug",Europe,Tolmezzo,Italy,Scramble,8747.0,2666.0856,Julius Kugy,46.430168,13.491461,,Udine,,Julian Alps,,,1891.0
Sulzenstein,"May, Jun, Jul, Aug, Sep, Oct, Nov",Europe,Berchtesgaden,Germany,Scramble,5418.0,1651.4064,J.F. Seitz and Max Zeller,47.34,12.46,,Salzburg,,Austrian Alps,,,1908.0
Mont Jacques Cartier,"Jun, Jul, Aug, Sep",North America,Sainte-Anne-des-Monts,Canada,Walk up,4167.0,1270.1016,,48.987655,-65.94839300000001,,Québec city,Quebec,Canadian Appalachians,,,
Tahquitz Peak,"May, Jun, Jul, Aug, Sep, Oct, Nov",North America,Idyllwild CA,United States,Walk up,8828.0,2690.7744,,33.7553,-116.6762,,,,,California,,
North Maroon Peak,"Jul, Aug, Sep",North America,"Aspen, CO",United States,Scramble,14019.0,4272.9912,,39.076,-106.9871,,Denver International,,Elk Range Area,Colorado,,
Reo pargil,"Jul, Aug",Asia,,India,Major Mountain Expedition,22362.0,6815.9376,,31.884372999999997,78.735624,,,,,,,
Labyrinth Mountain,"Jun, Jul, Aug, Sep, Oct",North America,"Leavenworth, WA",United States,Scramble,6380.0,1944.624,,47.852841,-121.04321999999999,,"Seattle, WA",,Cascade Range,Washington,,
Frailon,"Apr, May, Jun, Jul, Aug, Sep, Oct",Europe,Cangas de Onis,Spain,Scramble,4209.0,1282.9032,,43.175428000000004,-5.067322,,Asturias,,Cordillera Cantabrica,,,
Peña Olvidada,"May, Jun, Jul, Aug, Sep, Oct",Europe,Potes,Spain,Technical Climb,7894.0,2406.0912,,43.165295,-4.806307,,"Santander, Asturias",,Cordillera Cantabrica,,,
Morra de Lechugales,"Jun, Jul, Aug, Sep, Oct",Europe,Potes,Spain,Scramble,8009.0,2441.1432,,43.190112,-4.734780000000001,,Santander,,Cordillera Cantabrica,,,
Torbina,"Jan, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Europe,"Gijon, Llanes",Spain,Walk up,4314.0,1314.9072,,43.354788,-4.770144999999999,,Asturias,,Cordillera Cantabrica,,,
Curavacas,"Jun, Jul, Aug, Sep, Oct",Europe,Cervera de Pisuerga,Spain,Scramble,8268.0,2520.0864,,42.978235999999995,-4.673553,,Leon,,Cordillera Cantabrica,,,
Portillin Oriental,"Jun, Jul, Sep, Oct",Europe,"Mieres, Pola de Lena",Spain,Scramble,7326.0,2232.9648,,43.030056,-5.951708999999999,,Asturias,,Cordillera Cantabrica,,,
Luzny,"Jan, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Europe,Modrava,Germany,Walk up,4505.0,1373.124,,48.939097,13.506835999999998,,"Munich, Prague",,Bavarian Forest,,,
Torre Parda,"Jun, Jul, Aug, Sep, Oct",Europe,Posada de Valdeon,Spain,Scramble,7710.0,2350.008,,43.030056,-5.951708999999999,,"Asturias, Leon",,Cordillera Cantabrica,,,
Alto del Parrejon,"May, Jun, Jul, Aug, Sep, Oct",Europe,Riaza,Spain,Walk up,6604.0,2012.8992,,41.236000000000004,-3.404,,Madrid Barajas,,Castile Ranges,,,
"Streicher, Zenokopf","May, Jun, Jul, Aug, Sep, Oct",Europe,"Inzell, Ruhpolding",Germany,Walk up,5228.0,1593.4944,,47.658018,12.491491,,Salzburg,,,,,
Becs de Bosson,"Jul, Aug, Sep",Europe,"Grimenz, Sierre",Switzerland,Scramble,10331.0,3148.8888,,46.167895,7.518366,,Geneve,,Pennine Alps,,,
Garde de Bordon,"Jun, Jul, Aug, Sep",Europe,Grimentz,Switzerland,Scramble,10860.0,3310.1279999999997,,46.120782,7.597307000000001,,Geneve,,Pennine Alps,,,
Ladovy stit,"Jun, Jul, Aug, Sep, Oct",Europe,Stary Smokovec,Slovakia,Scramble,8619.0,2627.0712,"J. Ball (Englishman), W. Richter, Hungarian painter C. Ritter and three Polish guides from Jurgov.",49.198213,20.183116000000002,,Poprad,,Carpathian Mountains,,,1843.0
Diva veza,"Jun, Jul, Aug, Sep, Oct",Europe,Stary Smokovec,Slovakia,Technical Climb,7785.0,2372.868,K. Englisch with his mother and mountain guide J. Hunsdorfer,49.177793,20.144448999999998,,Poprad,,Carpathian Mountains,,,1898.0
Velicky stit,"Jun, Jul, Aug, Sep, Oct",Europe,Stary Smokovec,Slovakia,,7605.0,2318.004,"A. Grósz with company, but probably summited before that by unknown local hunters.",49.173922,20.135308,,Poprad,,Carpathian Mountains,,,1905.0
Hruba veza,"Jun, Jul, Aug, Sep, Oct",Europe,Stary Smokovec,Slovakia,Technical Climb,6844.0,2086.0512,"Zygmunt Klemensiewicz, Roman Kordys, Jerzy Maślanka",49.181384,20.130244,,Poprad,,Carpathian Mountains,,,1906.0
Niajo,"May, Jun, Jul, Aug, Sep, Oct",Europe,Cangas de Onis,Spain,Scramble,5705.0,1738.884,,43.136945000000004,-5.073028,,Asturias,,Cordillera Cantabrica,,,
Pilsko,,Europe,Korbielów,Poland,Walk up,5108.0,1556.9184,,49.3138,19.1906,,Bielsko Biała,,Carpathian Mountains,,,
Grey Friar,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Europe,Coniston,United Kingdom,Walk up,2536.0,772.9728,,54.394505,-3.1386529999999997,,"Liverpool, Manchester",,Lake District,,,
Pico Gilillo,"Apr, May, Jun, Jul, Aug, Sep, Oct",Europe,Cazorla,Spain,Scramble,6063.0,1848.0024,,37.869527000000005,-2.993684,,Granada,,Andalucian Ranges,,,
Col Rosà,"Jun, Jul, Sep, Oct",Europe,Cortina d'Ampezzo,Italy,Scramble,7106.0,2165.9088,,46.586652,12.097442,,Venice,,Dolomites,,,
Lubań,,Europe,Nowy Targ,Poland,Walk up,4019.0,1224.9912,,49.2917,20.2025,,Krakow (Balice),,Carpathian Mountains,,,
Runek,,Europe,Nowy Targ,Poland,Walk up,3297.0,1004.9256,,49.2948,20.1552,,Krakow (Balice),,Carpathian Mountains,,,
Beskid Krzyżowski,,Europe,Korbielów,Poland,Walk up,3028.0,922.9344,,49.3426,19.2344,,Bielsko Biała,,Carpathian Mountains,,,
Grivola,"Jun, Jul, Aug, Sep",Europe,Aosta,Italy,Scramble,13022.0,3969.1056,"J.Ormsby, R.Bruce, F.A.Dayné, Z.Cachat and J.Tairraz",45.595797999999995,7.257581,,Turin,,Graian Alps,,,1859.0
Becca di Nona,"Jan, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Europe,Aosta,Italy,Walk up,10308.0,3141.8784,Ing. Casalegno,45.68707,7.365814,,Turin,,Graian Alps,,,1832.0
Avic,"Jun, Jul, Aug, Sep, Oct",Europe,Verrès,Italy,Scramble,9862.0,3005.9376,"Baretti, Bovio, Santelli",45.689439,7.564168,,Turin,,Graian Alps,,,1875.0
Bear Butte,"Jun, Jul, Aug, Sep, Oct",North America,Sturgis,United States,Walk up,4426.0,1349.0448,Louis and Chevalier Verendrye,44.4756,-103.42616899999999,,Rapid City,,Black Hills,South Dakota,,1743.0
Piedmont Butte,"May, Jun, Jul, Aug, Sep",North America,,United States,,3882.0,1183.2336,,44.231619,-103.368,,Rapid City,,Black Hills,South Dakota,,
Rattlesnake Butte,"Apr, May, Jun, Jul, Aug, Sep",North America,Mobridge,United States,Walk up,2284.0,696.1632,,45.706046,-100.592042,,Mobridge,,Black Hills,South Dakota,,
Point Lookout (New South Wales),"Jan, Mar, Apr, May, Aug, Sep, Oct, Nov, Dec",Australia/Oceania,Dorrigo,Australia,Walk up,5131.0,1563.9288,,-30.488687,152.407905,18 Million Years Ago,Coffs Harbour,,North NSW Great Dividing Range,,,
Mt Ballow,"Mar, Apr, May, Aug, Sep, Oct, Nov",Australia/Oceania,Rathdowney,Australia,,4308.0,1313.0784,,-28.269393,152.614396,30 Million Years Ago,Brisbane,,South Queensland Great Dividing Range,,,
Malika Parbat,"Apr, May, Jun, Jul",Asia,,Pakistan,Technical Climb,17356.0,5290.1088,,34.82761,73.726587,,,,Karakoram,,,
Bazarduzu,"Jun, Jul, Aug, Sep",Europe,Baku,Azerbaijan,Scramble,14652.0,4465.9296,G.P. Baker and G. Yeld,41.220556,47.857778,,Heydar Aliyev International Airport (GYD),,Eastern Caucasus,,,1890.0
Blanco,"Jan, Mar, Oct, Nov, Dec",South America,Mendoza,Argentina,Scramble,16821.0,5127.0408,"Pablo Giannacari, Segundo Mendoza, Pedro Ugalde, Juan Corominas.",-32.898846999999996,-69.425957,,El Plumerillo,,Central Argentina-Chile,,,1943.0
Cerro Rincón,,South America,Mendoza,Argentina,Scramble,17598.0,5363.8704,"Mario Bertone, Alberto Antognini , Victoriano Catoira y Angel Landi",-32.968581,-69.43010600000001,,El Plumerillo,,Central Argentina-Chile,,,1937.0
El Salto,,South America,Mendoza,Argentina,Walk up,15476.0,4717.0848,"Pablo Etura, Domingo López Q., Santiago F. Orozco y Victor Domicelj",-32.913619,-69.405006,,El Plumerillo,,Central Argentina-Chile,,,1941.0
Pico Santo Cristo,"Jan, Feb, Mar, Nov, Dec",South America,Mérida,Venezuela,Scramble,14173.0,4319.9304,,8.607319,-70.903316,,Mérida,,Cordillera de Merida,,,
Geremba,"Jan, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",South America,El Junquito,Venezuela,Walk up,7782.0,2371.9536,,10.409930000000001,-67.21817,,Internacional Simón Bolívar,,Coastal Venezuela,,,
Pico Phelps,"Jan, Feb, Mar, Apr, Nov, Dec",South America,San Carlos de Río Negro,Venezuela,Scramble,9754.0,2973.0192,,0.804812,-66.006553,,San Carlos de Río Negro,,Western Guiana Highlands,,,
Pico Occidental,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",South America,Caracas,Venezuela,Walk up,14600.0,4450.08,,10.541188,-66.853085,,Internacional Simón Bolívar,,Coastal Venezuela,,,
Peñón de San Carlos,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",South America,Colonia Tovar,Venezuela,Walk up,7680.0,2340.864,,10.387474000000001,-67.347302,,Internacional Simón Bolívar,,Coastal Venezuela,,,
Comandante Cabot,"Jan, Dec",South America,San Juan,Argentina,Walk up,19288.0,5878.9824,Pablo David González,-30.330209999999997,-69.82353,,San Juan,,Central Argentina-Chile,,,2010.0
Rinker Peak,"Jun, Jul, Aug",North America,Leadville or Buena Vista,United States,Scramble,13783.0,4201.0584,,39.037,-106.439,,Denver Int DIA,,Sawatch Range,Colorado,,
Mount Hope,"Jun, Jul, Aug, Sep",North America,Leadville or Buena Vista,United States,Walk up,13933.0,4246.7784,,39.0211,-106.4192,,Denver Int DIA,,Sawatch Range,Colorado,,
Alto de Lagunazo,"Jan, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",South America,El Junquito,Venezuela,Walk up,7694.0,2345.1312,,10.423394,-67.207441,,Internacional Simón Bolívar,,Coastal Venezuela,,,
Cumbre de Buena Vista,"Jan, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",South America,Colonia Tovar,Venezuela,Walk up,7776.0,2370.1248,,10.403683000000001,-67.333354,,Internacional de Maiquetía,,Coastal Venezuela,,,
Pico Cogollal,"Jan, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",South America,Colonia Tovar,Venezuela,Walk up,7841.0,2389.9368,,10.394227,-67.389101,,Internacional Simón Bolívar,,Coastal Venezuela,,,
Piz Umbrail,"Jun, Jul, Aug, Sep",Europe,Bormio,Switzerland,Scramble,9944.0,3030.9312,,46.55101,10.4174,,"Innsbruck, Zurich",,Ortler Alps,,,
Ortler (Ortles),"Jul, Aug, Sep",Europe,"Bormio, Sulden",Italy,Basic Snow/Ice Climb,12812.0,3905.0976,,46.50776,10.54439,,"Innsbruck, Zurich",,Ortler Alps,,,
Klein Furkahorn,"Jun, Jul, Aug, Sep",Europe,"Andermatt, Brig",Switzerland,Walk up,9928.0,3026.0544,,46.58007,8.41051,,Zurich,,Lepontine Alps,,,
Roetlspitz (Rötlspitz; Punta Rosa),"Jan, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Europe,Bormio,Switzerland,,9928.0,3026.0544,,46.53974,10.45916,,"Innsbruck, Zurich",,Ortler Alps,,,
Kinyeti,"Jan, Dec",Africa,,Sudan,Walk up,10449.0,3184.8552,,3.946286,32.910258,,Juba,,,,,
Mount Mandalagan,,Asia,"Don Salvador Benedicto, Negros Occidental",Philippines,Scramble,6181.0,1883.9688,,10.636969,123.2361,,New Bacolod-Silay Airport,,,,,
Sicaba Diotay Peak,,Asia,"Victorias City, Negros Occidental",Philippines,Scramble,5039.0,1535.8872,Dennis S. Ella and Pedro F. Palabrica,10.770094,123.23324299999999,,New Bacolod-Silay Airport,,,,,2000.0
Lantawan Peak,,Asia,"Cadiz City, Negros Occidental",Philippines,Scramble,3442.0,1049.1216,,10.83254,123.235533,,New Bacolod-Silay Airport,,,,,
Sicaba Dacu Peak,,Asia,"Cadiz City, Negros Occidental",Philippines,Scramble,4524.0,1378.9152,"Dennis S. Ella, Mariebelle P. Ella and Pedro F. Palabrica",10.799443,123.24073,,New Bacolod-Silay Airport,,,,,1999.0
Manaphag,,Asia,"Concepcio, Iloilo",Philippines,Scramble,1739.0,530.0472,,11.278824,123.167515,,Iloilo International Airport,,,,,
Mount Talinis,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Asia,"Dumaguete City, Negros Oriental",Philippines,Scramble,6243.0,1902.8664,,9.242761,123.17625,,Dumaguete Airport,,,,Dormant,
Dinamlagan Peak,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Asia,"Victorias City, Negros Occidental",Philippines,Scramble,4839.0,1474.9272,,10.782744000000001,123.221768,,New Bacolod-Silay Airport,,,,Dormant,
Bilar Peak,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Asia,"Bilar, Bohol",Philippines,Walk up,1673.0,509.9304,,9.712413,124.136972,,Tagbilaran Airport,,,,,
Mount Agdalusan,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Asia,"Lambunao, Iloilo",Philippines,,2526.0,769.9248,,11.103097,122.37066499999999,,New Iloilo Airport,,,,,
Marapara Peak,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Asia,"Silay City, Negros Occiental",Philippines,Scramble,5522.0,1683.1056,,10.6655,123.17913999999999,,New Bacolod-Silay Airport,,,,Dormant,
Ranu Kau,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",South America,Hanga Roa,Chile,Walk up,1063.0,324.0024,,-27.186257,-109.43553899999999,,"Mataveri, Isla de Pascua",,Chilean Coastal Islands,,Extinct,
Volcan Maunga Tere Vaca,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",South America,Hanga Roa,Chile,Walk up,1677.0,511.1496,,-27.080540999999997,-109.37305400000001,,"Mataveri, Isla de Pascua",,Chilean Coastal Islands,,Extinct,
Volcan Ranu Raraku,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",South America,Hanga Roa,Chile,Walk up,820.0,249.93599999999998,,-27.121647999999997,-109.285936,,"Mataveri, Isla de Pascua",,Chilean Coastal Islands,,Extinct,
Dalayapan Peak,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Asia,"Manapla, Negros Occidental",Philippines,Scramble,3757.0,1145.1336,Dennis Ella and Mariebelle Porras,10.814867,123.22403700000001,,New Bacolod-Silay Airport,,,,Dormant,2002.0
Gawahon Peak,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Asia,"Victorias City, Negros Occidental",Philippines,Scramble,4298.0,1310.0304,,10.778463,123.20956699999999,,New Bacolod-Silay Airport,,,,Dormant,
The Merrick,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Europe,Ayr,United Kingdom,Walk up,2766.0,843.0768,Scottish,55.1393,-4.4684,,Prestwick Ayrshire,,Scottish Highlands,,,1992.0
Calaptan Peak,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Asia,"E.B. Magalona, Negros Occidental",Philippines,Scramble,4423.0,1348.1304,,10.764448,123.201807,,New Bacolod-Silay Airport,,,,Dormant,
Marapara South Peak,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Asia,,Philippines,Scramble,4888.0,1489.8624,,10.660758,123.17858999999999,,New Bacolod-Silay Airport,,,,Dormant,
Yagumyum Peak,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Asia,"Valencia, Negros Oriental",Philippines,Scramble,5577.0,1699.8696,,9.256967999999999,123.19013400000001,,Dumaguete Airport,,,,Dormant,
Marapara West Peak,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Asia,"Silay City, Negros Occiental",Philippines,Scramble,5135.0,1565.148,,10.663331,123.1758,,New Bacolod-Silay Airport,,,,Dormant,
Marapara Daku Peak,,Asia,,Philippines,,6145.0,1872.996,,10.637350999999999,123.195799,,,,,,,
Tingtingon Diotay Peak,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Asia,"E.B. Magalona, Negros Occidental",Philippines,Scramble,4035.0,1229.868,,10.741807000000001,123.22965900000001,,New Bacolod-Silay Airport,,,,Dormant,
Tingtingon Daku Peak,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Asia,"E.B. Magalona, Negros Occidental",Philippines,Scramble,3888.0,1185.0624,,10.742988,123.220046,,New Bacolod-Silay Airport,,,,Dormant,
Makawili Peak,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Asia,"Talisay City, Negros Occidental",Philippines,Scramble,4633.0,1412.1384,,10.672145,123.16000700000001,,New Bacolod-Silay Airport,,,,Dormant,
Hamugnaw Peak,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Asia,"Anilao, Iloilo",Philippines,Walk up,755.0,230.12400000000002,,11.042575999999999,122.706349,,New Iloilo Airport,,,,,
Brumlow Top,"Jan, Feb, Mar, Sep, Oct, Nov, Dec",Australia/Oceania,Dungog,Australia,Walk up,5203.0,1585.8744,,-32.003017,151.447692,19 Million Years Ago,Newcastle,,North NSW Great Dividing Range,,Extinct,
The Round Mountain (New South Wales),"Jan, Feb, Mar, Apr, Sep, Oct, Nov, Dec",Australia/Oceania,Ebor or Armidale,Australia,Walk up,5203.0,1585.8744,,-30.437946999999998,152.23994199999999,,Coffs Harbour,,North NSW Great Dividing Range,,,
Mt Bithongabel,"Jan, Feb, Mar, Apr, Aug, Sep, Oct, Nov, Dec",Australia/Oceania,Canungara,Australia,Walk up,3904.0,1189.9392,,-28.262421999999997,153.171189,20 Million Years Ago,Brisbane,,South Queensland Great Dividing Range,,Extinct,
Phola Gangchen (aka Molamenqing) (摩拉门青),"Apr, May",Asia,"Kathmandu, Nepal",China,Major Mountain Expedition,25134.0,7660.8432,"B. Farmer, R. Price (New Zealand)",28.354998,85.809721,,"Lhasa, Tibet or Kathmandu, Nepal",,,,,1981.0
Mount Guinsayawan,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Asia,"Sibulan, Negros Oriental",Philippines,Scramble,5866.0,1787.9568,,9.338494,123.14876399999999,,Dumaguete Airport,,,,Dormant,
Punta di Leppe,"Jun, Jul, Aug, Sep",Europe,Cogne,Italy,Scramble,10846.0,3305.8608,Giovanni Bobba and Eliseo Jeantet,45.67548,7.41783,,Aosta,,,,,1893.0
The Watchman,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",North America,"Springdale, UT",United States,Scramble,6545.0,1994.9160000000002,,37.18469,-112.979568,,Las Vegas or Salt Lake City,,Colorado Plateau,Utah,,
Great White Throne,"Feb, Mar, Apr, May",North America,Springdale,United States,Technical Climb,6744.0,2055.5712,"Fred Beckey, Galen Rowell, Pat Callis",37.260808000000004,-112.941014,,Las Vegas or Salt Lake City,,Colorado Plateau,Utah,,1967.0
Masada,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Asia,Jerusalem,Israel,,1509.0,459.9432,,31.316390000000002,35.35383,,Tel Aviv,,,,,
East Temple,"Feb, Mar, Apr, May, Sep, Oct",North America,Springdale,United States,Technical Climb,7709.0,2349.7032,"Dawson, Jones, Fuller, Momyer, Gilbert",37.221,-112.9504,,Las Vegas or Salt Lake City,,Colorado Plateau,Utah,,1937.0
West Temple,"Feb, Mar, Apr, May, Sep, Oct, Nov",North America,Springdale,United States,Technical Climb,7810.0,2380.488,John Wesley Powell,37.210524,-113.02051499999999,,Las Vegas or Salt Lake City,,Colorado Plateau,Utah,,1933.0
Major's Point,"Jan, Feb, Mar, Sep, Oct, Nov, Dec",Australia/Oceania,Ebor,Australia,Scramble,5095.0,1552.9560000000001,,-30.438183000000002,152.41742,19 Million Years Ago,Coffs Harbour,,North NSW Great Dividing Range,,Extinct,
Darkie Point,"Jan, Feb, Mar, Sep, Oct, Nov, Dec",Australia/Oceania,Ebor,Australia,Scramble,5000.0,1524.0,,-30.419128999999998,152.42873600000001,19 Million Years Ago,Coffs Harbour,,North NSW Great Dividing Range,,Extinct,
Mt Field West,"Jan, Feb, Mar",Australia/Oceania,Hobart,Australia,Scramble,4705.0,1434.0839999999998,James Sprent and party,-42.654632,146.51583,,Hobart,,,,,1853.0
Ben Lomond,"Jan, Feb, Mar",Australia/Oceania,Launceston,Australia,Walk up,5167.0,1574.9016,John Batman,-41.532511,147.65853700000002,,Launceston,,,,,1826.0
Kalanag,"May, Jun, Sep, Oct",Asia,Dehradun,India,Major Mountain Expedition,20955.0,6387.084,JTM Gibson,31.0112,78.3412,,"Jolly Grant, Dehradun",,Garhwal Himalaya,,,1955.0
Grisedale Pike,,Europe,Keswick,United Kingdom,Walk up,2595.0,790.956,,54.59051899999999,-3.24273,,"Manchester, Liverpool",,Lake District,,,
Thornton Peak,"May, Jun, Jul, Aug, Sep",Australia/Oceania,Cape Tribulation,Australia,Scramble,4508.0,1374.0384,,-16.164291,145.374119,,Cairns,,Cape York Ranges,,,
Mt Zeil,,Australia/Oceania,Alice Springs,Australia,,5023.0,1531.0104,,-23.400925,132.395534,,Alice Springs,,,,,
Mt Hobwee,"Jan, Feb, Mar, Apr, May, Aug, Sep, Oct, Nov, Dec",Australia/Oceania,Canungra or Chillingham,Australia,Walk up,3855.0,1175.004,,-28.253264,153.20757700000001,20.5 Million Years,Brisbane,,North NSW Great Dividing Range,,Extinct,
Spicer's Peak,"Jan, Feb, Mar, Apr, May, Aug, Sep, Oct, Nov, Dec",Australia/Oceania,Aratula,Australia,,3953.0,1204.8744,,-28.099107,152.394074,23 Million Years ago,Brisbane,,South Queensland Great Dividing Range,,Extinct,
Mt Huntley,,Australia/Oceania,Boonah,Australia,,4137.0,1260.9576,,-28.144097,152.43203,23 Million Years ago,Brisbane,,South Queensland Great Dividing Range,,Extinct,
Mt Asplenium,,Australia/Oceania,Killarney,Australia,Scramble,4245.0,1293.876,,-28.157326,152.435591,23 Million Years ago,Brisbane,,North NSW Great Dividing Range,,Extinct,
Mt Robert's (Main Range),"Jan, Feb, Mar, Apr, May, Aug, Sep, Oct, Nov, Dec",Australia/Oceania,Killarney,Australia,Walk up,4337.0,1321.9176,,-28.204525,152.472609,23 Million Years ago,Brisbane,,North NSW Great Dividing Range,,Extinct,
Mt Wanungara,"Jan, Feb, Mar, Apr, May, Aug, Sep, Oct, Nov, Dec",Australia/Oceania,Canungra,Australia,Walk up,3901.0,1189.0248,,-28.251846999999998,153.175592,20.5 Million Yeas Ago,Brisbane,,North NSW Great Dividing Range,,Extinct,
Mt Spurgeon,"Mar, Apr, May, Jun, Jul, Aug, Sep",Australia/Oceania,Mossman,Australia,Walk up,4354.0,1327.0992,,-16.438774,145.200734,,Cairns,,Cape York Ranges,,,
Mt Carbine,"Apr, May, Jun, Jul, Aug, Sep",Australia/Oceania,Mossman,Australia,Scramble,4521.0,1378.0008,,-16.422226000000002,145.272257,,Cairns,,Cape York Ranges,,,
Mt Windsor,"Apr, May, Jun, Jul, Aug, Sep",Australia/Oceania,McLeod River,Australia,Scramble,4432.0,1350.8736,,-16.232454,145.024393,,Cairns,,Cape York Ranges,,,
Millaa Millaa Mountain,"Apr, May, Jun, Jul, Aug, Sep",Australia/Oceania,Millaa Millaa,Australia,Scramble,4501.0,1371.9048,,-17.557191,145.546331,,Cairns,,Cape York Ranges,,,
Tiger Mountain,"Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",North America,Issaquah,United States,Walk up,3004.0,915.6192,,47.488526,-121.94704499999999,,Seattle-Tacoma,,Cascade Range,Washington,,
Squak Mountain,"Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct",North America,Issaquah,United States,Walk up,2028.0,618.1344,,47.503885,-122.047183,,Seattle-Tacoma,,Cascade Range,Washington,,
Mount Errigal,"Apr, May, Jun, Jul, Aug, Sep, Oct",Europe,Gweedore,Ireland,Walk up,751.0,228.9048,,55.033889,-8.112668,,,,,,,
Mweelrea,"Apr, May, Jun, Jul, Aug, Sep, Oct",Europe,Westport,Ireland,Walk up,814.0,248.1072,,53.637375,-9.830913,,,,,,,
Checkerboard Mesa,"Mar, Apr, May, Jun, Sep, Oct",North America,Springdale,United States,Scramble,6680.0,2036.0639999999999,,37.215599,-112.88003,,Salt Lake City,,Colorado Plateau,Utah,,
Hidden Lake Peaks,"Jul, Aug, Sep",North America,Marblemount,United States,Scramble,7088.0,2160.4224,,48.5006,-121.1978,,Seattle-Tacoma,,Cascade Range,Washington,,
Barn Bluff,,Australia/Oceania,,Australia,Scramble,5114.0,1558.7472,,-41.717527000000004,145.939805,,Launceston or hobart,,,,,
Turner peak,"Jan, Feb, Mar, Nov, Dec",Australia/Oceania,Mount cook village,New Zealand,Basic Snow/Ice Climb,7671.0,2338.1208,,-43.639802,170.147324,,Christchurch,,,,,
Monarch Mountain,"Jul, Aug",North America,Vancouver,Canada,Major Mountain Expedition,11663.0,3554.8824,Henry S. Hall Jr. and Hans Fuhrer,51.899443,-125.876287,,Williams Lake,,British Columbia Coast Ranges,,,1936.0
Punta di Malanda,"May, Jun, Jul, Aug, Sep, Oct",Europe,Zonza,France,Scramble,3825.0,1165.86,,41.835757,9.259238999999999,,Figari,,,,,
